issue_type,sub_issue,raw_label,label,label_strategy,training_example_count
Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,raw_label,188
Timeout,General,Timeout > General,Timeout > General,raw_label,119
Orphan,,Orphan,Orphan,raw_label,74
Set Up Issue,Pax Mapping Mismatch,Set Up Issue > Pax Mapping Mismatch,Set Up Issue > Pax Mapping Mismatch,raw_label,56
SP Issue,Payment Issue,SP Issue > Payment Issue,SP Issue > Payment Issue,raw_label,47
Custom Field,Missing Custom Fields,Custom Field > Missing Custom Fields,Custom Field > Missing Custom Fields,raw_label,45
Custom Field,Wrong Custom Field Updated,Custom Field > Wrong Custom Field Updated,Custom Field > Wrong Custom Field Updated,raw_label,42
Seatmap,Current Slot Unavailable,Seatmap > Current Slot Unavailable,Seatmap > Current Slot Unavailable,raw_label,33
SP Issue,Booking Failed,SP Issue > Booking Failed,SP Issue > Booking Failed,raw_label,24
Inventory Issue,Unknown,Inventory Issue > Unknown,Inventory Issue > Unknown,raw_label,21
Set Up Issue,Release Period,Set Up Issue > Release Period,Set Up Issue > Release Period,raw_label,20
SP Issue,Booking Not Confirmed,SP Issue > Booking Not Confirmed,SP Issue > Booking Not Confirmed,raw_label,16
SP Issue,Unknown,SP Issue > Unknown,SP Issue > Unknown,raw_label,14
Seatmap,Single Seat Issue,Seatmap > Single Seat Issue,Seatmap > Single Seat Issue,raw_label,13
Seatmap,Timeout,Seatmap > Timeout,Seatmap > Timeout,raw_label,13
Seatmap,Booking Delayed,Seatmap > Booking Delayed,Seatmap > Booking Delayed,raw_label,12
Seatmap,Seats UA,Seatmap > Seats UA,Seatmap > Seats UA,raw_label,11
SP Issue,Product Unavailable,SP Issue > Product Unavailable,SP Issue > Product Unavailable,raw_label,10
Credentials,Not updated on AWS,Credentials > Not updated on AWS,Credentials > Not updated on AWS,raw_label,9
Customer Issue,Invalid Format,Customer Issue > Invalid Format,Customer Issue > Invalid Format,raw_label,9
Seatmap,Book Manually,Seatmap > Book Manually,Seatmap > Book Manually,raw_label,9
Booking Incomplete,Tickets not sent,Booking Incomplete > Tickets not sent,Booking Incomplete > Tickets not sent,raw_label,8
Seatmap,Unknown,Seatmap > Unknown,Seatmap > Unknown,raw_label,8
Set Up Issue,Min Pax Requirement Issue,Set Up Issue > Min Pax Requirement Issue,Set Up Issue > Min Pax Requirement Issue,raw_label,7
Set Up Issue,Pax Limit Issue,Set Up Issue > Pax Limit Issue,Set Up Issue > Pax Limit Issue,raw_label,7
Custom Field,Missing Dropdown Values,Custom Field > Missing Dropdown Values,Custom Field > Missing Dropdown Values,raw_label,6
Inventory Issue,Min Pax Requirement Issue,Inventory Issue > Min Pax Requirement Issue,Inventory Issue > Min Pax Requirement Issue,raw_label,6
Set Up Issue,Missing Pax Type,Set Up Issue > Missing Pax Type,Set Up Issue > Missing Pax Type,raw_label,6
SP Issue,Config Issue,SP Issue > Config Issue,SP Issue > Config Issue,raw_label,5
Customer Issue,Inaccurate info,Customer Issue > Inaccurate info,Customer Issue > Inaccurate info,raw_label,4
Inventory Issue,Pending Confirmation,Inventory Issue > Pending Confirmation,Inventory Issue > Pending Confirmation,raw_label,4
Set Up Issue,Product Code Issue,Set Up Issue > Product Code Issue,Set Up Issue > Product Code Issue,raw_label,4
Booking Failed,Tickets not sent,Booking Failed > Tickets not sent,Booking Failed > Tickets not sent,raw_label,3
