id,text,label,issue_type,sub_issue,raw_label,anchor_source,label_strategy,source_row_id
sheet1_r003_parent,5003,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,3
sheet1_r003_baby,Insufficient stocks available,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,3
sheet1_r003_combined,5003 || Insufficient stocks available,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,3
sheet1_r004_parent,Access is denied,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,4
sheet1_r005_parent,B0001,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,5
sheet1_r005_baby,No availability on this date,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,5
sheet1_r005_combined,B0001 || No availability on this date,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,5
sheet1_r006_parent,B0001,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,6
sheet1_r006_baby,Not enough products left for this date,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,6
sheet1_r006_combined,B0001 || Not enough products left for this date,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,6
sheet1_r007_parent,B0001,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,7
sheet1_r007_baby,Please select a different product,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,7
sheet1_r007_combined,B0001 || Please select a different product,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,7
sheet1_r008_parent,B0001,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,8
sheet1_r008_baby,This product is not currently available.,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,8
sheet1_r008_combined,B0001 || This product is not currently available.,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,8
sheet1_r009_parent,B0004,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,parent,raw_label,9
sheet1_r009_baby,OrderResource price does not exist,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,baby,raw_label,9
sheet1_r009_combined,B0004 || OrderResource price does not exist,Inventory Issue > Current Slot Unavailable,Inventory Issue,Current Slot Unavailable,Inventory Issue > Current Slot Unavailable,combined,raw_label,9
